Source: https://www.ncdc.noaa.gov/cag/time-series/us/30/0/tavg/12/1/1895-2016
Fresno, California, Average Temperature, February-January
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
1896,63.5
1897,63.7
1898,62.6
1899,64.3
1900,62.9
1901,63.5
1902,63.7
1903,62.9
1904,63.0
1905,64.7
1906,63.6
1907,63.6
1908,62.6
1909,62.8
1910,61.8
1911,64.5
1912,61.7
1913,61.6
1914,63.2
1915,62.7
1916,62.5
1917,61.1
1918,63.1
1919,62.6
1920,62.4
1921,61.6
1922,62.6
1923,62.5
1924,62.0
1925,63.3
1926,62.3
1927,65.1
1928,62.4
1929,62.9
1930,63.0
1931,62.8
1932,64.3
1933,63.1
1934,62.9
1935,64.7
1936,62.8
1937,63.9
1938,64.0
1939,63.1
1940,64.2
1941,64.8
1942,63.1
1943,62.7
1944,63.4
1945,62.3
1946,63.2
1947,62.5
1948,64.5
1949,61.6
1950,63.2
1951,64.3
1952,63.0
1953,63.5
1954,62.0
1955,61.9
1956,62.2
1957,61.6
1958,63.0
1959,64.6
1960,64.1
1961,63.1
1962,62.7
1963,62.6
1964,61.9
1965,61.9
1966,61.5
1967,63.6
1968,62.9
1969,63.1
1970,62.5
1971,63.4
1972,61.0
1973,62.6
1974,62.9
1975,63.0
1976,61.6
1977,62.0
1978,63.2
1979,62.5
1980,63.6
1981,62.8
1982,63.9
1983,61.3
1984,63.5
1985,63.7
1986,63.3
1987,63.9
1988,63.3
1989,63.1
1990,63.0
1991,63.0
1992,63.0
1993,65.1
1994,63.3
1995,63.3
1996,63.9
1997,64.9
1998,64.6
1999,61.7
2000,63.4
2001,63.6
2002,64.8
2003,64.7
2004,64.7
2005,64.5
2006,64.9
2007,63.7
2008,64.5
2009,64.9
2010,64.7
2011,63.6
2012,63.2
2013,65.3
2014,66.0
2015,67.6
2016,66.6
