Source: https://www.ncdc.noaa.gov/cag/time-series/us/30/0/tavg/12/1/1895-2016
New York, Average Temperature, February-January
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
1896,43.4
1897,44.2
1898,44.5
1899,45.8
1900,44.9
1901,45.1
1902,43.7
1903,44.3
1904,43.4
1905,41.6
1906,44.2
1907,44.0
1908,42.5
1909,45.0
1910,43.9
1911,44.2
1912,44.0
1913,44.5
1914,45.3
1915,43.1
1916,44.8
1917,43.3
1918,40.3
1919,45.1
1920,43.9
1921,44.5
1922,46.3
1923,45.0
1924,43.7
1925,41.9
1926,44.5
1927,41.5
1928,44.8
1929,44.1
1930,44.3
1931,45.1
1932,47.7
1933,45.2
1934,44.7
1935,43.3
1936,43.5
1937,45.2
1938,44.4
1939,45.9
1940,43.7
1941,42.7
1942,45.3
1943,44.7
1944,43.9
1945,43.7
1946,45.4
1947,46.0
1948,43.9
1949,45.8
1950,47.4
1951,43.7
1952,45.0
1953,46.1
1954,46.3
1955,45.1
1956,45.6
1957,43.4
1958,45.9
1959,42.9
1960,45.7
1961,43.7
1962,45.2
1963,43.3
1964,43.8
1965,44.5
1966,43.8
1967,44.8
1968,42.8
1969,44.4
1970,43.4
1971,44.4
1972,45.0
1973,43.3
1974,46.3
1975,44.4
1976,44.6
1977,43.0
1978,45.0
1979,43.0
1980,44.8
1981,42.8
1982,44.7
1983,45.2
1984,45.1
1985,45.2
1986,45.1
1987,45.0
1988,45.6
1989,45.4
1990,44.2
1991,46.5
1992,47.2
1993,43.9
1994,43.0
1995,45.7
1996,44.5
1997,44.7
1998,45.0
1999,47.8
2000,46.8
2001,45.2
2002,47.5
2003,45.6
2004,44.4
2005,45.7
2006,47.2
2007,47.2
2008,45.7
2009,44.9
2010,45.6
2011,47.0
2012,47.7
2013,48.7
2014,45.1
2015,44.5
2016,46.3
