Source: https://www.ncdc.noaa.gov/cag/time-series/us/30/0/tavg/12/1/1895-2016
Texas, Average Temperature, February-January
Units: Degrees Fahrenheit
Missing: -9999
Date,Value
1896,62.4
1897,64.7
1898,65.0
1899,63.5
1900,64.3
1901,64.9
1902,64.8
1903,65.4
1904,62.6
1905,64.6
1906,63.5
1907,64.2
1908,65.1
1909,65.2
1910,65.1
1911,65.9
1912,64.8
1913,63.4
1914,63.7
1915,63.1
1916,64.2
1917,65.2
1918,63.6
1919,64.8
1920,63.4
1921,64.4
1922,65.8
1923,66.2
1924,63.4
1925,63.8
1926,65.5
1927,64.5
1928,66.3
1929,64.5
1930,63.2
1931,65.0
1932,64.8
1933,64.2
1934,66.3
1935,66.7
1936,64.5
1937,64.1
1938,64.9
1939,65.9
1940,64.7
1941,64.5
1942,63.7
1943,64.1
1944,64.6
1945,64.5
1946,64.9
1947,65.6
1948,63.8
1949,64.6
1950,65.2
1951,64.9
1952,65.9
1953,64.9
1954,65.5
1955,66.4
1956,65.3
1957,66.0
1958,64.4
1959,63.4
1960,63.8
1961,63.4
1962,63.3
1963,65.1
1964,65.7
1965,65.1
1966,64.4
1967,64.0
1968,64.7
1969,63.5
1970,63.9
1971,64.3
1972,64.8
1973,63.9
1974,64.1
1975,64.7
1976,63.6
1977,62.3
1978,65.3
1979,63.7
1980,63.7
1981,64.9
1982,65.0
1983,64.5
1984,63.2
1985,64.7
1986,65.1
1987,65.2
1988,63.6
1989,65.0
1990,64.3
1991,65.1
1992,64.9
1993,64.4
1994,64.2
1995,65.7
1996,65.0
1997,65.4
1998,64.4
1999,67.0
2000,66.7
2001,65.9
2002,66.1
2003,64.8
2004,65.7
2005,65.4
2006,66.2
2007,66.3
2008,65.1
2009,65.7
2010,65.5
2011,65.2
2012,67.8
2013,67.6
2014,64.8
2015,64.8
2016,66.0
